	A	Coef	t	P.value	F	F.p.value	Results	genes
g13012	-0.187096425715009	1.60636772498975	1.64563421853561	0.0558906068667964	19.0057233709316	0.000179485597040432	0	g13012
g13013	-1.32121367282714	1.69894875017624	1.47700869294699	0.0757974987174509	12.8894977211972	0.0013363362561662	0	g13013
g13014	7.90313031530055	-0.338742955469138	0	0.999999999999978	55.6410898669681	6.08691504290238e-08	0	g13014
g13015	6.82534979556769	-0.120576863541842	0	1	6.37985233051783	0.0179178100977657	0	g13015
g13016	3.59739898533091	-0.473099088788894	0	0.999910411663673	15.3271233196895	0.000576938866478407	0	g13016
g13017	2.08308557610708	-1.17569298540071	-0.547288383451112	0.294405775993107	13.4125535600218	0.00111038691919468	0	g13017
g13018	3.80376052270065	-0.20594621483652	0	0.999999999937396	7.01542981711109	0.0135090360721484	0	g13018
g13019	7.1895133586963	0.00556499645196329	0	1	0.0403562928529137	0.84233645945148	0	g13019
g1302	6.19980539517049	-0.317467647231977	0	0.999999999999981	46.4966879027135	2.95504471481352e-07	0	g1302
g13020	2.89870569219263	-0.127346494764993	0	0.999999999999891	3.93980981888234	0.0577155710924391	0	g13020
g13021	4.67058965827511	-0.126817398055445	0	0.999999999999039	3.22360873589313	0.084123952426868	0	g13021
g13022	4.55079069717795	0.256227945258048	0	0.999999999999995	28.3813061303334	1.38495041326577e-05	0	g13022
g13024	4.80254476554173	-0.485638781866752	0	0.999999109143597	33.30816592403	4.32049294960124e-06	0	g13024
g13026	4.16686257853459	-0.484221607582579	0	0.999994142707142	25.61475285107	2.79936924188788e-05	0	g13026
g13027	7.90965692275461	1.12823387967424	0.833533832476424	0.206038154411044	53.7822756862527	8.2658824732733e-08	0	g13027
g13028	6.21604309202576	-0.0306131539122001	0	1	0.438324197410862	0.513712345794952	0	g13028
g13029	3.54594581112878	0.096338953246228	0	1	3.34943467726578	0.0786246354767924	0	g13029
g1303	7.82091463681413	0.193663508337261	0	0.999999999999999	16.7569242783206	0.000361662537975272	0	g1303
g13030	5.13260555740295	-0.199378736565012	0	1	23.8595883361021	4.46768717737545e-05	0	g13030
g13032	6.6940920506087	-1.36094939882329	-3.5378992289429	0.000763808340127072	177.943540663425	3.41702744065936e-13	-1	g13032
g13033	7.00447059011123	0.117149349420143	0	1	18.0590191214441	0.000239905393133261	0	g13033
g13034	6.80377287895496	-0.209570204722471	0	1	53.3706077382837	8.85417264994235e-08	0	g13034
g13035	6.96190342736226	-0.208692205527264	0	1	24.0667102845467	4.22408399017147e-05	0	g13035
g13036	7.05435767727303	-0.114677023721815	0	1	12.7329965522876	0.00141328040970605	0	g13036
g13037	5.41486833635907	0.0261519068631646	0	1	0.276570477471561	0.603379942094975	0	g13037
g13038	5.82763809946912	-0.186127578495513	0	1	18.9059799432976	0.000184998673958839	0	g13038
g1304	4.54081856437537	-0.422931629196819	0	0.999999719897563	23.1504141958093	5.42351503222069e-05	0	g1304
g13042	-1.80669487348615	-1.38222998230573	-0.460458486063374	0.328501566561661	2.77263103482397	0.107799714103673	0	g13042
g13043	-1.81173450744037	1.61394888446536	1.55189215000571	0.0663409314164301	16.6432522490695	0.000375102554494597	0	g13043
g13044	0.417140397783179	-1.28871158313991	-1.12505984687489	0.135381009661241	25.2193737499571	3.105616940926e-05	0	g13044
g13045	5.05025236654652	-0.0508783467189451	0	0.999999999880073	0.278418144199503	0.602178955287441	0	g13045
g13046	1.89226560801241	0.639177107114188	0	0.938857058558807	8.00179484753808	0.00884389257942339	0	g13046
g13047	5.70175251243257	1.32850841258101	2.61043464971247	0.00737955781992089	111.445176751138	6.18508790494647e-11	1	g13047
g13048	-0.924703013366566	-0.0205513776171633	0	0.999978551183849	0.00912100875090392	0.924641041684832	0	g13048
g13049	6.82136748960271	0.00875214135984503	0	0.999999999999996	0.0174821387544198	0.895820135643241	0	g13049
g1305	4.47853638864808	0.375236944060383	0	0.999999997720929	26.4290122290949	2.26644781536274e-05	0	g1305
g13050	4.18245382341633	0.044263546214995	0	0.999999999999975	0.445584157858406	0.510275034978302	0	g13050
g13051	5.83540626843087	1.57756106973856	3.91458703564447	0.000288770368734392	114.326904189517	4.70412688438905e-11	1	g13051
g13053	3.99713695790686	-1.75235295144516	-5.13219691109042	1.15965862178922e-05	142.891545189909	4.09156353724741e-12	-1	g13053
g13054	5.07666476062206	-0.0961773999341426	0	1	3.48147205216951	0.0732898413580612	0	g13054
g13055	2.94797543259895	1.2886664011876	1.34272465177796	0.0954378948957025	35.930433756031	2.4202043312169e-06	0	g13055
g13056	5.15495981494297	-0.091439316976814	0	1	3.66309776370727	0.0666100321813335	0	g13056
g13057	0.9096049607137	-0.525511532256616	0	0.990926294901408	7.79107415331189	0.00966795847251435	0	g13057
g13058	2.44942558795185	-8.55216433003919	-10.9516530956315	1.4095636985054e-11	153.804332450268	1.79381578745191e-12	-1	g13058
g1306	-1.05003128081511	-0.235575128617611	0	0.999707968565895	1.45161666205068	0.239036040129798	0	g1306
g13061	6.26286131205095	0.0407945764794144	0	1	0.580733354940425	0.452829005477125	0	g13061
g13062	5.53652951166057	2.21971503785216	5.74653519854898	2.3046275981736e-06	109.367890215236	7.56136124235403e-11	1	g13062
g13063	3.13866947777422	-0.712507369908544	0	0.997383737678436	56.9921800155986	4.89471339913915e-08	0	g13063
g13064	3.66097558927497	-7.85901193578958	-14.4223313325306	2.80597733735542e-14	273.076115739813	2.22581381712278e-15	-1	g13064
g13065	1.09199706820168	-1.50156706919812	-3.85297658305129	0.000339007515275273	133.052849492352	9.0220601860938e-12	-1	g13065
g13066	7.48067371113518	-1.031185835036	-0.132115061453035	0.447951178109147	19.0837529186066	0.00017529642187615	0	g13066
g1307	1.93297483396655	-2.11988092186532	-5.9951510191431	1.20712434855819e-06	128.789214858074	1.29068971082269e-11	-1	g1307
g13074	0.504604934944434	-0.433838145907259	0	0.99915763201003	7.19099362168835	0.0125120950676294	0	g13074
g13075	2.26851200995543	2.24310082784607	5.28419205157464	7.76103572606787e-06	90.9163657027258	5.2337098879735e-10	1	g13075
g13076	1.47245529197328	2.3463825426671	4.90468738264868	2.11818547109269e-05	73.060620516563	4.68463964498871e-09	1	g13076
g13077	0.678700107758757	2.46992381271432	5.68728549141385	2.69055974787148e-06	91.3245461482029	4.998186336094e-10	1	g13077
g13078	-0.39244991880154	2.48784831907702	3.33117939212847	0.00128979958811472	31.0260524143752	7.31438374133954e-06	1	g13078
