"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g18593","g18593",2.29778357159142,1.20677735351342,5.67306094810171,3.52655427130124e-06,7.32218892941605e-05
"g16062","g16062",5.68628548613678,-1.89955677142761,5.67255599204494,3.54191392651716e-06,7.34594515578211e-05
"g11113","g11113",4.49452455968143,-0.816860551093584,5.66785115482091,3.57502378384165e-06,7.40642220146377e-05
"g1572","g1572",-2.47606069034496,1.70257403998579,-5.66020992125897,3.64275388708663e-06,7.53807249527245e-05
"g22019","g22019",6.73423655268965,-2.08963242982973,5.66311831348635,3.64661142098891e-06,7.53807249527245e-05
"g8684","g8684",-3.03452095282173,1.39136628740925,-5.65431777210015,3.69733870501973e-06,7.63451579079459e-05
"g9084","g9084",2.12899695626564,2.79382181319165,5.65126236446797,3.72594059147364e-06,7.68511112756207e-05
"g13251","g13251",-2.8272052284055,2.66428549509531,-5.64812655961025,3.75555412177489e-06,7.73767958562169e-05
"g18257","g18257",3.20633293248603,0.281873198716103,5.64089220857156,3.8248095233906e-06,7.87171830450608e-05
"g3789","g3789",-2.3245796695519,4.37304787714287,-5.6386305495082,3.84666793563122e-06,7.9080238075822e-05
"g20054","g20054",-4.94081573866255,-0.552457619391308,-5.63853491413868,3.85202051124636e-06,7.91035405973252e-05
"g11114","g11114",5.69671574570645,2.94964518284546,5.63502048977805,3.89429138859285e-06,7.98841020183012e-05
"g17908","g17908",10.0440337474136,-2.89769688576848,5.648123191115,3.92895369025224e-06,8.04213650831604e-05
"g22300","g22300",4.41398794672152,-3.07248461560837,5.63041511503587,3.92906130546562e-06,8.04213650831604e-05
"g21896","g21896",-3.99776922419897,-2.44699608698726,-5.62770526671693,3.95495524837503e-06,8.08630926409852e-05
"g19267","g19267",-3.14799844054569,2.2253181327365,-5.62681175480432,3.96324694345331e-06,8.09443539681984e-05
